variable,stability_prob,elasticnet_coef,adaptive_lasso_coef,post_lasso_coef,post_lasso_se,post_lasso_p,boot_ci_lower,boot_ci_upper,revealed_weight_pct
cont__attr3_1,1.0,-0.006314722034177433,-0.0,-0.015010177140097144,0.013632225169199371,0.27086162836832905,-0.0451860502705625,0.014889264938842076,0.5145227168652172
cont__shar,1.0,0.09013209574173288,0.09225517176837095,0.09187433708281799,0.00993017629585626,2.2025888496893738e-20,0.07286031701742182,0.10933979008935482,3.149292182552907
cont__amb,1.0,-0.019985756955844834,-0.02395683712044271,-0.03456233908907273,0.00862649710411166,6.161670835576608e-05,-0.0466199592382261,-0.014471176605666297,1.1847367584904804
cont__fun,1.0,0.06593158827215662,0.06681831347191926,0.08015427431049595,0.00971051740356878,1.5269627548927158e-16,0.06103567414311788,0.09713394191243742,2.7475488531329453
cont__intel,1.0,0.0,-0.0,0.012916487251444148,0.01011651042546308,0.2016824043846308,-0.005352611900021076,0.03563300489330748,0.44275467577359806
cont__amb_o,1.0,0.0,0.0,0.004479235693382931,0.00768755176248455,0.5601216115009251,-0.009349472540390993,0.018173194380889608,0.1535403944222956
bin__samerace,1.0,0.0,0.0,0.03207083238102148,0.012885939054366925,0.012816645165806278,0.008266038158088957,0.05895573674518865,1.0993322500326843
cont__sports,1.0,-0.005646421212564834,-0.0,-0.01295206523680962,0.017027411980687492,0.4468603813898996,-0.054464962559669275,0.021173193333497577,0.443974227116662
cont__art,1.0,-0.0,0.0,-0.0015877522346512372,0.020488807806214124,0.9382308529938902,-0.04863719396948016,0.0429878513630716,0.054425379917687464
cont__concerts,1.0,0.0,0.0,0.013865029192842715,0.015928420593925772,0.3840498857731739,-0.03320580283301564,0.045878668842181364,0.4752690406737475
cont__movies,1.0,-0.014596181148145058,-0.011140821763819865,-0.0378321809030138,0.013893840257476557,0.0064702574321710065,-0.06981791883438188,-0.009693635556142178,1.2968212381155864
cont__theater,1.0,0.0,0.0,0.02072689090087363,0.016311059013852866,0.20382605259357522,-0.014152112589444725,0.05540523197633829,0.7104817031104959
cont__tv,1.0,-0.0,-0.0,0.002866524206372293,0.014740554941620831,0.8458116822188522,-0.029229905222233094,0.030072382827688118,0.09825945482566355
cont__reading,1.0,0.0,0.0,0.004021475470498751,0.011863025627227953,0.7346154591706893,-0.022118321532758126,0.026978446700546246,0.13784917163705462
cont__clubbing,1.0,0.0,0.0,0.007391970356187016,0.012526720885148147,0.5551261582764029,-0.023640374224413004,0.03547143748809738,0.253383863171909
cont__hiking,1.0,-0.0,-0.0,-0.007655185755779314,0.012512082039741003,0.54065454356932,-0.03548784620797911,0.019935031795347738,0.26240642841247597
cont__gaming,1.0,0.015749203266400717,0.006937382725501825,0.017805914838835677,0.01290527497706814,0.16766693326061055,-0.012772302820629054,0.05349999095546861,0.6103557335559283
cont__museums,1.0,-0.0,-0.0,-0.01769592062584941,0.02241102328013652,0.4297568036657421,-0.05867431766453558,0.03259124555550446,0.6065853236016072
cont__dining,1.0,-0.0,-0.0,0.004791721109420155,0.013769617998845423,0.7278459623179552,-0.026102944988059356,0.03225858912475935,0.16425184997272557
cont__tvsports,1.0,-0.0,-0.0,0.005866255164312182,0.014939183537232054,0.6945589804156612,-0.022108625463996882,0.03968512272362769,0.20108500497995996
cont__exercise,1.0,-0.01271761936965494,-0.007121777930548553,-0.017096143225370116,0.012615921352722033,0.1753779165453474,-0.04482180478461702,0.017033165284119838,0.5860259994358322
cat__date_6.0,0.99,0.0,0.0,-0.046914835053864026,0.12192962673913986,0.7004079943164913,-0.2771707870699189,0.2914508804677249,1.608158795722342
cat__field_cd_14.0,0.99,0.0,0.0,0.09060779431132426,0.09674700294825857,0.34899333325137005,-0.13965700864293307,0.28690236299773875,3.1058773033191276
cat__goal_5.0,0.99,-0.0,-0.0,-0.04365828671876157,0.046469718751326765,0.34747424738009314,-0.14898606286660346,0.08235358899728452,1.496529993387703
cat__field_cd_15.0,0.99,-0.0,-0.0,-0.051540685750685725,0.06576977662345998,0.43324372111695353,-0.1766129395615416,0.1183661846845652,1.7667248969832998
cat__race_6.0,0.99,0.0,0.0,-0.0084561307376282,0.05466972767642176,0.8770762331960924,-0.14326610088242567,0.10987247055610495,0.2898614267295567
cat__date_3.0,0.99,0.0,-0.0,-0.03558195330204822,0.12804292202457768,0.7810961668187383,-0.28423611890342115,0.2736730423235665,1.219687357015605
cat__field_cd_2.0,0.98,-0.0,-0.0,0.020578765338359433,0.10416666538638328,0.8433923460161799,-0.2633523976822825,0.26380242120769826,0.7054042169389035
cat__go_out_6.0,0.97,0.0,0.0,0.0684102411941333,0.1325533736954479,0.6057874919721684,-0.29146912141127024,0.42385284631109216,2.344983862088017
cat__field_cd_18.0,0.88,0.0,0.0,0.02609112841726831,0.06764542275612784,0.6997156999363376,-0.1850866552381094,0.19930555419033613,0.894358417894413
cat__field_cd_16.0,0.86,0.0,0.0,0.26973377845901936,0.07295253422992107,0.00021782981699189564,2.5659782162819824e-17,0.5208583340655778,9.24600390972848
cat__go_out_7.0,0.74,-0.0,-0.0,-0.17532706636919507,0.20677431942726351,0.3964852581623548,-0.6093506969839486,0.24929623735779372,6.009906324643326
cat__field_cd_12.0,0.55,0.0,0.0,,,,,,
cat__field_cd_17.0,0.45,-0.0,0.0,,,,,,
